Animal No	Parents	DOB	Location	Cage No	Animal No in Cage	Sex	Purpose	Surgery date	Injection	Comments	Pain model	Sac date	Section date	Mounted	Cryoprotect	Is Archived
469	WTL531		5558C		Y37R	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-	Y
470	WTL535		5558C		Y40R	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y			Y
471	WTL535		5558C		Y41R	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants	FDIC	-	-	-	-	-	Y
472	WTL535		5558C		Y34R	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y			Y
473	WLT536		5558C		Y35R2	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y			Y
474	WTL530		5558C		Y37R2	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y			Y
475	WTL530		5558C		Y29R3	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y			Y
476	WLTL524		5558C		Y31R3	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y			Y
477	WLTL524		5558C		Y41R3	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y			Y
478	WLTL524		5558C		Y45R3	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y			Y
479	WLTL524		5558C		Y46R3	M	Lei-Dab7 daily infusion PRACTICE CPP	2/4/22	Cannula Implants		-	Y	Y			Y
																
480			5558C		Y47	M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants		-	6/3/22				Y
481			5558C		Y48	M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants		-	6/3/22				Y
482			5558C		Y49	M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants		-	6/3/22				Y
483			5558C			M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants	FDIC	-	-	-	-	-	Y
484			5558C		Y50	M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants		-	6/3/22				Y
485			5558C			M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants	FDIC	-	-	-	-	-	Y
486			5558C			M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants	FDIC	-	-	-	-	-	Y
487			5558C		Y51	M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants		-	6/3/22				Y
488			5558C			M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants	FDIC	-	-	-	-	-	Y
489			5558C		Y52	M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants		-	6/3/22				Y
490			5558C			M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants	FDIC	-	-	-	-	-	Y
491			5558C			M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants	FDIC	-	-	-	-	-	Y
492			5558C			M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants	FDIC	-	-	-	-	-	Y
493			5558C		Y55	M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants		-	6/3/22				Y
494			5558C			M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants	FDIC	-	-	-	-	-	Y
495			5558C		Y53	M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants		-	6/3/22				Y
496			5558C		Y56	M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants			6/3/22				Y
497			5558C			M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants	FDIC	-	-	-	-	-	Y
498			5558C		Y59	M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants			6/3/22				Y
499			5558C		Y61	M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants			6/3/22				Y
500			5558C			M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants	FDIC	-	-	-	-	-	Y
501			5558C		Y62	M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants			6/3/22				Y
502			5558C		Y60	M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants			6/3/22				Y
503			5558C		Y58	M	Lei-Dab7 daily infusion PRACTICE CPP	5/12/22	Cannula Implants		-	6/3/22				Y
